company,sector,priority,country_focus,target_roles,why_monitor,search_query_pt,search_query_en,ats_hint
VLI Logística,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",VLI Logística carreiras vagas dados engenharia de dados analytics,VLI Logística careers data engineer analytics Brazil,auto-detect
Wemobi,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Wemobi carreiras vagas dados engenharia de dados analytics,Wemobi careers data engineer analytics Brazil,auto-detect
Wilson Sons,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Wilson Sons carreiras vagas dados engenharia de dados analytics,Wilson Sons careers data engineer analytics Brazil,auto-detect
Zul+,"Logística, mobilidade, transporte e delivery",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Zul+ carreiras vagas dados engenharia de dados analytics,Zul+ careers data engineer analytics Brazil,auto-detect
Agendor,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Agendor carreiras vagas dados engenharia de dados analytics,Agendor careers data engineer analytics Brazil,auto-detect
Alelo,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Alelo carreiras vagas dados engenharia de dados analytics,Alelo careers data engineer analytics Brazil,auto-detect
Avanade Brasil,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Avanade Brasil carreiras vagas dados engenharia de dados analytics,Avanade Brasil careers data engineer analytics Brazil,auto-detect
Bagy,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Bagy carreiras vagas dados engenharia de dados analytics,Bagy careers data engineer analytics Brazil,auto-detect
Benner,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Benner carreiras vagas dados engenharia de dados analytics,Benner careers data engineer analytics Brazil,auto-detect
Betha Sistemas,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Betha Sistemas carreiras vagas dados engenharia de dados analytics,Betha Sistemas careers data engineer analytics Brazil,auto-detect
Bling,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Bling carreiras vagas dados engenharia de dados analytics,Bling careers data engineer analytics Brazil,auto-detect
BRQ Digital Solutions,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",BRQ Digital Solutions carreiras vagas dados engenharia de dados analytics,BRQ Digital Solutions careers data engineer analytics Brazil,auto-detect
Caju,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Caju carreiras vagas dados engenharia de dados analytics,Caju careers data engineer analytics Brazil,auto-detect
CI&T,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",CI&T carreiras vagas dados engenharia de dados analytics,CI&T careers data engineer analytics Brazil,auto-detect
Compass UOL,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Compass UOL carreiras vagas dados engenharia de dados analytics,Compass UOL careers data engineer analytics Brazil,auto-detect
Concrete Solutions,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Concrete Solutions carreiras vagas dados engenharia de dados analytics,Concrete Solutions careers data engineer analytics Brazil,auto-detect
Conta Azul,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Conta Azul carreiras vagas dados engenharia de dados analytics,Conta Azul careers data engineer analytics Brazil,auto-detect
Convenia,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Convenia carreiras vagas dados engenharia de dados analytics,Convenia careers data engineer analytics Brazil,auto-detect
Cortex,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Cortex carreiras vagas dados engenharia de dados analytics,Cortex careers data engineer analytics Brazil,auto-detect
Dadosfera,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Dadosfera carreiras vagas dados engenharia de dados analytics,Dadosfera careers data engineer analytics Brazil,auto-detect
Daitan,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Daitan carreiras vagas dados engenharia de dados analytics,Daitan careers data engineer analytics Brazil,auto-detect
DBServer,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",DBServer carreiras vagas dados engenharia de dados analytics,DBServer careers data engineer analytics Brazil,auto-detect
Dextra,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Dextra carreiras vagas dados engenharia de dados analytics,Dextra careers data engineer analytics Brazil,auto-detect
Dito,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Dito carreiras vagas dados engenharia de dados analytics,Dito careers data engineer analytics Brazil,auto-detect
Eduzz,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Eduzz carreiras vagas dados engenharia de dados analytics,Eduzz careers data engineer analytics Brazil,auto-detect
Encora Brasil,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Encora Brasil carreiras vagas dados engenharia de dados analytics,Encora Brasil careers data engineer analytics Brazil,auto-detect
Exact Sales,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Exact Sales carreiras vagas dados engenharia de dados analytics,Exact Sales careers data engineer analytics Brazil,auto-detect
FCamara,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",FCamara carreiras vagas dados engenharia de dados analytics,FCamara careers data engineer analytics Brazil,auto-detect
Feedz,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Feedz carreiras vagas dados engenharia de dados analytics,Feedz careers data engineer analytics Brazil,auto-detect
Flash,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Flash carreiras vagas dados engenharia de dados analytics,Flash careers data engineer analytics Brazil,auto-detect
Fortes Tecnologia,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Fortes Tecnologia carreiras vagas dados engenharia de dados analytics,Fortes Tecnologia careers data engineer analytics Brazil,auto-detect
GeekHunter,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",GeekHunter carreiras vagas dados engenharia de dados analytics,GeekHunter careers data engineer analytics Brazil,auto-detect
Gupy,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Gupy carreiras vagas dados engenharia de dados analytics,Gupy careers data engineer analytics Brazil,auto-detect
Hotmart,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Hotmart carreiras vagas dados engenharia de dados analytics,Hotmart careers data engineer analytics Brazil,auto-detect
Huggy,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Huggy carreiras vagas dados engenharia de dados analytics,Huggy careers data engineer analytics Brazil,auto-detect
ilegra,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",ilegra carreiras vagas dados engenharia de dados analytics,ilegra careers data engineer analytics Brazil,auto-detect
Intera,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Intera carreiras vagas dados engenharia de dados analytics,Intera careers data engineer analytics Brazil,auto-detect
Kenoby,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Kenoby carreiras vagas dados engenharia de dados analytics,Kenoby careers data engineer analytics Brazil,auto-detect
Kiwify,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Kiwify carreiras vagas dados engenharia de dados analytics,Kiwify careers data engineer analytics Brazil,auto-detect
Linx,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Linx carreiras vagas dados engenharia de dados analytics,Linx careers data engineer analytics Brazil,auto-detect
Locaweb,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Locaweb carreiras vagas dados engenharia de dados analytics,Locaweb careers data engineer analytics Brazil,auto-detect
Loja Integrada,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Loja Integrada carreiras vagas dados engenharia de dados analytics,Loja Integrada careers data engineer analytics Brazil,auto-detect
Mandaê,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Mandaê carreiras vagas dados engenharia de dados analytics,Mandaê careers data engineer analytics Brazil,auto-detect
Matera,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Matera carreiras vagas dados engenharia de dados analytics,Matera careers data engineer analytics Brazil,auto-detect
Meetime,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Meetime carreiras vagas dados engenharia de dados analytics,Meetime careers data engineer analytics Brazil,auto-detect
Meta IT,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Meta IT carreiras vagas dados engenharia de dados analytics,Meta IT careers data engineer analytics Brazil,auto-detect
MJV Technology & Innovation,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",MJV Technology & Innovation carreiras vagas dados engenharia de dados analytics,MJV Technology & Innovation careers data engineer analytics Brazil,auto-detect
Monetizze,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Monetizze carreiras vagas dados engenharia de dados analytics,Monetizze careers data engineer analytics Brazil,auto-detect
Moskit CRM,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Moskit CRM carreiras vagas dados engenharia de dados analytics,Moskit CRM careers data engineer analytics Brazil,auto-detect
Movidesk,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Movidesk carreiras vagas dados engenharia de dados analytics,Movidesk careers data engineer analytics Brazil,auto-detect
Nibo,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Nibo carreiras vagas dados engenharia de dados analytics,Nibo careers data engineer analytics Brazil,auto-detect
Nuvemshop,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Nuvemshop carreiras vagas dados engenharia de dados analytics,Nuvemshop careers data engineer analytics Brazil,auto-detect
Objective,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Objective carreiras vagas dados engenharia de dados analytics,Objective careers data engineer analytics Brazil,auto-detect
Objective Solutions,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Objective Solutions carreiras vagas dados engenharia de dados analytics,Objective Solutions careers data engineer analytics Brazil,auto-detect
Octadesk,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Octadesk carreiras vagas dados engenharia de dados analytics,Octadesk careers data engineer analytics Brazil,auto-detect
Omie,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Omie carreiras vagas dados engenharia de dados analytics,Omie careers data engineer analytics Brazil,auto-detect
Pin People,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pin People carreiras vagas dados engenharia de dados analytics,Pin People careers data engineer analytics Brazil,auto-detect
Pipefy,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pipefy carreiras vagas dados engenharia de dados analytics,Pipefy careers data engineer analytics Brazil,auto-detect
Pipo Saúde,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pipo Saúde carreiras vagas dados engenharia de dados analytics,Pipo Saúde careers data engineer analytics Brazil,auto-detect
Ploomes,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Ploomes carreiras vagas dados engenharia de dados analytics,Ploomes careers data engineer analytics Brazil,auto-detect
Pmweb,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pmweb carreiras vagas dados engenharia de dados analytics,Pmweb careers data engineer analytics Brazil,auto-detect
Pontomais,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Pontomais carreiras vagas dados engenharia de dados analytics,Pontomais careers data engineer analytics Brazil,auto-detect
Qulture.Rocks,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Qulture.Rocks carreiras vagas dados engenharia de dados analytics,Qulture.Rocks careers data engineer analytics Brazil,auto-detect
Radix,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Radix carreiras vagas dados engenharia de dados analytics,Radix careers data engineer analytics Brazil,auto-detect
Ramper,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Ramper carreiras vagas dados engenharia de dados analytics,Ramper careers data engineer analytics Brazil,auto-detect
RD Station,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",RD Station carreiras vagas dados engenharia de dados analytics,RD Station careers data engineer analytics Brazil,auto-detect
Remotar,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Remotar carreiras vagas dados engenharia de dados analytics,Remotar careers data engineer analytics Brazil,auto-detect
Revelo,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Revelo carreiras vagas dados engenharia de dados analytics,Revelo careers data engineer analytics Brazil,auto-detect
Rock Content,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Rock Content carreiras vagas dados engenharia de dados analytics,Rock Content careers data engineer analytics Brazil,auto-detect
Rocky.Monks,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Rocky.Monks carreiras vagas dados engenharia de dados analytics,Rocky.Monks careers data engineer analytics Brazil,auto-detect
Sankhya,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sankhya carreiras vagas dados engenharia de dados analytics,Sankhya careers data engineer analytics Brazil,auto-detect
Semantix,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Semantix carreiras vagas dados engenharia de dados analytics,Semantix careers data engineer analytics Brazil,auto-detect
Senior Sistemas,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Senior Sistemas carreiras vagas dados engenharia de dados analytics,Senior Sistemas careers data engineer analytics Brazil,auto-detect
Sensedata,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sensedata carreiras vagas dados engenharia de dados analytics,Sensedata careers data engineer analytics Brazil,auto-detect
Sensedia,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sensedia carreiras vagas dados engenharia de dados analytics,Sensedia careers data engineer analytics Brazil,auto-detect
Sienge,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sienge carreiras vagas dados engenharia de dados analytics,Sienge careers data engineer analytics Brazil,auto-detect
Softplan,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Softplan carreiras vagas dados engenharia de dados analytics,Softplan careers data engineer analytics Brazil,auto-detect
Stefanini,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Stefanini carreiras vagas dados engenharia de dados analytics,Stefanini careers data engineer analytics Brazil,auto-detect
Sólides,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Sólides carreiras vagas dados engenharia de dados analytics,Sólides careers data engineer analytics Brazil,auto-detect
Take Blip,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Take Blip carreiras vagas dados engenharia de dados analytics,Take Blip careers data engineer analytics Brazil,auto-detect
Tangerino,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Tangerino carreiras vagas dados engenharia de dados analytics,Tangerino careers data engineer analytics Brazil,auto-detect
Tecnisa,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Tecnisa carreiras vagas dados engenharia de dados analytics,Tecnisa careers data engineer analytics Brazil,auto-detect
Thoughtworks Brasil,"Software, SaaS, dados e consultorias brasileiras",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Thoughtworks Brasil carreiras vagas dados engenharia de dados analytics,Thoughtworks Brasil careers data engineer analytics Brazil,auto-detect
